TEAM,NAME,image,,,,,,,,,BATTING STYLE,BOWLING STYLE,PLAYING ROLE
Lucknow Super Giants,Nicholas Pooran,, 'nilING STYLE\n\nRight arm Offbreak',, 'FIELDING POSITION\n\nWicketkeeper',, 'AGE\n\n29y 279d',,Left hand Bat,Left hand Bat,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter
Lucknow Super Giants,Yuvraj Chaudhary,, 'nilING STYLE\n\nSlow Left arm Orthodox',, 'PLAYING ROLE\n\nBatting Allrounder'],, 'AGE\n\n23y 275d',,Left hand Bat,Left hand Bat,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder
Lucknow Super Giants,Rajvardhan Hangargekar,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Fast medium',, Maharashtra',, 'AGE\n\n22y 240d',,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Lucknow Super Giants,Arshin Kulkarni,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Medium',, Maharashtra',, 'AGE\n\n20y 143d',,Right hand Bat,Right arm Medium,Allrounder
Lucknow Super Giants,Aiden Markram,, 'nilING STYLE\n\nRight arm Offbreak',, 'PLAYING ROLE\n\nAllrounder'],, 'AGE\n\n30y 277d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Offbreak,Allrounder
Lucknow Super Giants,Mitchell Marsh,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Medium',, Perth',, 'AGE\n\n33y 261d',,Right hand Bat,Right arm Medium,Allrounder
Lucknow Super Giants,Shahbaz Ahmed,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nSlow Left arm Orthodox',, Haryana',, 'AGE\n\n30y 209d',,Left hand Bat,Slow Left arm Orthodox,Allrounder
Lucknow Super Giants,Akash Deep,, 'AGE\n\n28y 205d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', (Rotas),, Bihar',,Right hand Bat,Right arm Fast medium ,Bowler
Lucknow Super Giants,Akash Singh,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nLeft arm Medium fast',, Rajasthan',, 'AGE\n\n23y 73d',,Right hand Bat,Left arm Medium fast,Bowler
Lucknow Super Giants,Avesh Khan,, 'ALSO KNOWN AS\n\nAvesh Khan',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', Madhya Pradesh',, 'AGE\n\n28y 207d',,Right hand Bat,Right arm Fast medium ,Bowler
Lucknow Super Giants,Will O’Rourke,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Fast',, Surrey',, 'AGE\n\n23y 336d',,Right hand Bat,Right arm Fast,Bowler
Lucknow Super Giants,Prince Yadav,, 'PLAYING ROLE\n\nniler'],,,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Fast',,Right hand Bat,Right arm Fast,Bowler
Lucknow Super Giants,Digvesh Rathi,, 'nilING STYLE\n\nLegbreak',, 'PLAYING ROLE\n\nBowler'],, 'AGE\n\n25y 205d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Legbreak ,Bowler
Lucknow Super Giants,Ravi Bishnoi,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nLegbreak Googly',, Rajasthan',, 'AGE\n\n24y 306d',,Right hand Bat,Legbreak Googly,Bowler
Lucknow Super Giants,Manimaran Siddharth,, 'PLAYING ROLE\n\nniler'],,,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nSlow Left arm Orthodox',,Right hand Bat,Slow Left arm Orthodox,Bowler
Lucknow Super Giants,Shardul Thakur,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Medium',, Maharashtra',, 'AGE\n\n33y 265d',,Right hand Bat,Right arm Medium,Bowler
Lucknow Super Giants,Shamar Joseph,, 'PLAYING ROLE\n\nniler'],,,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nRight arm Fast',,Left hand Bat,Right arm Fast,Bowler
Lucknow Super Giants,Mohsin Khan,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nLeft arm Medium fast',, Uttar Pradesh',, 'AGE\n\n26y 358d',,Left hand Bat,Left arm Medium fast,Bowler
Lucknow Super Giants,Mayank Yadav,, 'nilING STYLE\n\nRight arm Fast',, 'PLAYING ROLE\n\nBowler'],, 'AGE\n\n23y 21d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Fast ,Bowler
Mumbai Indians,Jonny Bairstow,, 'NICKNAMES\n\nBluey',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', Yorkshire',, 'AGE\n\n35y 285d',,Right hand Bat,Right arm Medium,Wicketkeeper Batter
Mumbai Indians,Bevon Jacobs,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Medium',, Gauteng',, 'AGE\n\n23y 63d',,Right hand Bat,Right arm Medium,Middle order Batter
Mumbai Indians,Robin Minz,, 'FIELDING POSITION\n\nWicketkeeper',, 'PLAYING ROLE\n\nWicketkeeper'],,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nSlow Left arm Orthodox',,Left hand Bat,Slow Left arm Orthodox,Wicketkeeper
Mumbai Indians,Naman Dhir,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Offbreak',, Haryana',, 'AGE\n\n25y 189d',,Right hand Bat,Right arm Offbreak,Top order Batter
Mumbai Indians,Rohit Sharma,, 'AGE\n\n38y 69d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', Nagpur,, Maharashtra',,Right hand Bat,Right arm Offbreak,Top order Batter
Mumbai Indians,Krishnan Shrijith,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nRight arm Offbreak',, Karnataka',, 'AGE\n\n28y 330d',,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter
Mumbai Indians,Suryakumar Yadav,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Medium,, Maharashtra',, 'AGE\n\n34y 297d',,Right hand Bat,Right arm Medium,Batter
Mumbai Indians,Ryan Rickelton,, 'AGE\n\n28y 362d',,Left hand Bat,Left hand Bat, Transvaal,, South Africa',,Left hand Bat,not defined,Wicketkeeper Batter
Mumbai Indians,Hardik Pandya,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Medium fast',, Gujarat',, 'AGE\n\n31y 270d',,Right hand Bat,Right arm Medium fast,Allrounder
Mumbai Indians,Charith Asalanka,, 'nilING STYLE\n\nRight arm Offbreak',, 'PLAYING ROLE\n\nBatting Allrounder',, 'AGE\n\n28y 9d',,Left hand Bat,Left hand Bat,Left hand Bat,Right arm Offbreak,Batting Allrounder
Mumbai Indians,Raj Bawa,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nRight arm Medium fast',, Himachal Pradesh',, 'AGE\n\n22y 238d',,Left hand Bat,Right arm Medium fast,Allrounder
Mumbai Indians,Mitchell Santner,, 'nilING STYLE\n\nSlow Left arm Orthodox',, 'PLAYING ROLE\n\nBowling Allrounder',, 'AGE\n\n33y 153d',,Left hand Bat,Left hand Bat,Left hand Bat,Slow Left arm Orthodox ,Bowling Allrounder
Mumbai Indians,Tilak Varma,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nRight arm Offbreak',, Andhra Pradesh',, 'AGE\n\n22y 242d',,Left hand Bat,Right arm Offbreak,Batting Allrounder
Mumbai Indians,Corbin Bosch,, 'nilING STYLE\n\nRight arm Fast medium',, 'PLAYING ROLE\n\nAllrounder',, 'AGE\n\n30y 301d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Fast medium,Allrounder
Mumbai Indians,Will Jacks,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Offbreak',, Surrey',, 'AGE\n\n26y 229d',,Right hand Bat,Right arm Offbreak,Batting Allrounder
Mumbai Indians,Ashwani Kumar,, 'AGE\n\n23y 313d',,Left hand Bat,Left hand Bat,,, Mohali',,Left hand Bat,Left arm Medium ,Bowler
Mumbai Indians,Trent Boult,, 'nilING STYLE\n\nLeft arm Fast medium',, 'PLAYING ROLE\n\nBowler',, 'AGE\n\n35y 351d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Left arm Fast medium ,Bowler
Mumbai Indians,Jasprit Bumrah,, 'nilING STYLE\n\nRight arm Fast',, 'PLAYING ROLE\n\nBowler'],, 'AGE\n\n31y 214d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Fast ,Bowler
Mumbai Indians,Deepak Chahar,, 'ALSO KNOWN AS\n\nDeepak Chahar',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', Uttar Pradesh',, 'AGE\n\n32y 335d',,Right hand Bat,Right arm Medium ,Bowler
Mumbai Indians,Richard Gleeson,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Fast medium',, Lancashire',, 'AGE\n\n37y 218d',,Right hand Bat,Right arm Fast medium,Bowler
Mumbai Indians,Mujeeb Ur Rahman,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Offbreak',, 'AGE\n\n24y 102d',, 'ALSO KNOWN AS\n\nMujeeb Zadran',,Right hand Bat,Right arm Offbreak,Bowler
Mumbai Indians,Satyanarayana Raju,, 'PLAYING ROLE\n\nniler',, 'RELATIONS\n\nPP Raju\n\n(brother)'],, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Medium fast',,Right hand Bat,Right arm Medium fast,Bowler
Mumbai Indians,Karn Sharma,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nLegbreak Googly',, Uttar Pradesh',, 'AGE\n\n37y 258d',,Left hand Bat,Legbreak Googly,Bowler
Mumbai Indians,Raghu Sharma,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nLegbreak',, Punjab',, 'AGE\n\n32y 119d',,Right hand Bat,Legbreak,Bowler
Mumbai Indians,Arjun Tendulkar,, 'nilING STYLE\n\nLeft arm Medium fast',, 'PLAYING ROLE\n\nBowler',, 'AGE\n\n25y 287d',,Left hand Bat,Left hand Bat,Left hand Bat,Left arm Medium fast ,Bowler
Mumbai Indians,Reece Topley,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nLeft arm Fast medium',, Suffolk',, 'AGE\n\n31y 137d',,Right hand Bat,Left arm Fast medium,Bowler
Mumbai Indians,AM Ghazanfar,, 'nilING STYLE\n\nRight arm Offbreak',, 'PLAYING ROLE\n\nBowler'],, 'AGE\n\n19y 110d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Offbreak ,Bowler
Mumbai Indians,Vignesh Puthur,, 'PLAYING ROLE\n\nniler'],,,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nLeft arm Wrist spin',,Right hand Bat,Left arm Wrist spin,Bowler
Mumbai Indians,Lizaad Williams,, 'nilING STYLE\n\nRight arm Medium fast',, 'PLAYING ROLE\n\nBowler'],, 'AGE\n\n31y 280d',,Left hand Bat,Left hand Bat,Left hand Bat,Right arm Medium fast ,Bowler
Punjab Kings,Shreyas Iyer,, 'nilING STYLE\n\nRight arm Offbreak,, Legbreak Googly',, 'AGE\n\n30y 212d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Offbreak,Top order Batter
Punjab Kings,Arshdeep Singh,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nLeft arm Medium fast',, Madhya Pradesh',, 'AGE\n\n26y 151d',,Left hand Bat,Left arm Medium fast,Bowler
Punjab Kings,Priyansh Arya,, 'PLAYING ROLE\n\nOpening Batter'],,,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nRight arm Offbreak',,Left hand Bat,Right arm Offbreak,Opening Batter
Punjab Kings,Pyla Avinash,, 'PLAYING ROLE\n\nBatter'],,,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Medium fast',,Right hand Bat,Right arm Medium fast,Batter
Punjab Kings,Azmatullah Omarzai,, 'PLAYING ROLE\n\nAllrounder'],,,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Medium fast',,Right hand Bat,Right arm Medium fast,Allrounder
Punjab Kings,Xavier Bartlett,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Fast medium',, South Australia',, 'AGE\n\n26y 201d',,Right hand Bat,Right arm Fast medium,Bowler
Punjab Kings,Yuzvendra Chahal,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nLegbreak Googly',, Haryana',, 'AGE\n\n34y 348d',,Right hand Bat,Legbreak Googly,Bowler
Punjab Kings,Praveen Dubey,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nLegbreak Googly',, Uttar Pradesh',, 'AGE\n\n32y 5d',,Right hand Bat,Legbreak Googly,Bowler
Punjab Kings,Lockie Ferguson,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Fast',, 'AGE\n\n34y 23d',, 'NICKNAMES\n\nLockie',,Right hand Bat,Right arm Fast,Bowler
Punjab Kings,Aaron Hardie,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Medium fast',, Dorset',, 'AGE\n\n26y 180d',,Right hand Bat,Right arm Medium fast,Allrounder
Punjab Kings,Harnoor Singh,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nLegbreak',, Punjab',, 'AGE\n\n22y 157d',,Left hand Bat,Legbreak,Batter
Punjab Kings,Harpreet Brar,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nSlow Left arm Orthodox',, Uttar Pradesh',, 'AGE\n\n29y 293d',,Left hand Bat,Slow Left arm Orthodox,Bowler
Punjab Kings,Josh Inglis,, 'AGE\n\n30y 124d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', Yorkshire,, England',,Right hand Bat,not defined,Wicketkeeper Batter
Punjab Kings,Kyle Jamieson,, 'nilING STYLE\n\nRight arm Fast medium',, 'PLAYING ROLE\n\nBowler'],, 'AGE\n\n30y 188d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Fast medium ,Bowler
Punjab Kings,Marco Jansen,, 'PLAYING ROLE\n\nniling Allrounder',, 'EDUCATION\n\nLaerskool Goudkop',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nLeft arm Fast',,Right hand Bat,Left arm Fast,Bowling Allrounder
Punjab Kings,Glenn Maxwell,, 'AGE\n\n36y 265d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', Melbourne,, Victoria',,Right hand Bat,Right arm Offbreak,Batting Allrounder
Punjab Kings,Musheer Khan,, 'nilING STYLE\n\nSlow Left arm Orthodox',, 'PLAYING ROLE\n\nAllrounder',, 'AGE\n\n20y 129d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Slow Left arm Orthodox,Allrounder
Punjab Kings,Mitchell Owen,, 'PLAYING ROLE\n\nMiddle order Batter'],,,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Medium',,Right hand Bat,Right arm Medium,Middle order Batter
Punjab Kings,Prabhsimran Singh,, 'PLAYING ROLE\n\nWicketkeeper Batter'],,,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'FIELDING POSITION\n\nWicketkeeper',,Right hand Bat,not defined,Wicketkeeper Batter
Punjab Kings,Kuldeep Sen,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Fast',, Madhya Pradesh',, 'AGE\n\n28y 257d',,Right hand Bat,Right arm Fast,Bowler
Punjab Kings,Shashank Singh,, Right arm Offbreak',, 'PLAYING ROLE\n\nBatting Allrounder'],, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Medium,,Right hand Bat,Right arm Medium,Batting Allrounder
Punjab Kings,Marcus Stoinis,, 'nilING STYLE\n\nRight arm Medium',, 'PLAYING ROLE\n\nBatting Allrounder'],, 'AGE\n\n35y 324d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Medium,Batting Allrounder
Punjab Kings,Suryansh Shedge,, 'PLAYING ROLE\n\nBatting Allrounder'],,,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Medium fast',,Right hand Bat,Right arm Medium fast,Batting Allrounder
Punjab Kings,Vishnu Vinod,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'FIELDING POSITION\n\nWicketkeeper',, Kerala',, 'AGE\n\n31y 216d',,Right hand Bat,not defined,Wicketkeeper Batter
Punjab Kings,Vijaykumar Vyshak,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Medium',, Karnataka',, 'AGE\n\n28y 156d',,Right hand Bat,Right arm Medium,Bowler
Punjab Kings,Nehal Wadhera,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nLegbreak',, Punjab',, 'AGE\n\n24y 305d',,Left hand Bat,Legbreak,Top order Batter
Punjab Kings,Yash Thakur,, 'nilING STYLE\n\nRight arm Fast medium',, 'PLAYING ROLE\n\nBowler'],, 'AGE\n\n26y 190d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Fast medium ,Bowler
Rajasthan Royals,Sanju Samson,, 'AGE\n\n30y 237d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', Vizhinjam,, Trivandrum',,Right hand Bat,not defined,Wicketkeeper Batter
Rajasthan Royals,Jofra Archer,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Fast',, Barbados',, 'AGE\n\n30y 96d',,Right hand Bat,Right arm Fast,Bowler
Rajasthan Royals,Ashok Sharma,, 'PLAYING ROLE\n\nniler'],,,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Medium',,Right hand Bat,Right arm Medium,Bowler
Rajasthan Royals,Nandre Burger,, 'nilING STYLE\n\nLeft arm Fast medium',, 'PLAYING ROLE\n\nBowler'],, 'AGE\n\n29y 329d',,Left hand Bat,Left hand Bat,Left hand Bat,Left arm Fast medium ,Bowler
Rajasthan Royals,Tushar Deshpande,, 'nilING STYLE\n\nRight arm Medium',, 'PLAYING ROLE\n\nBowler'],, 'AGE\n\n30y 52d',,Left hand Bat,Left hand Bat,Left hand Bat,Right arm Medium ,Bowler
Rajasthan Royals,Shubham Dubey,, 'nilING STYLE\n\nRight arm Offbreak',, 'PLAYING ROLE\n\nMiddle order Batter'],, 'AGE\n\n30y 313d',,Left hand Bat,Left hand Bat,Left hand Bat,Right arm Offbreak,Middle order Batter
Rajasthan Royals,Fazalhaq Farooqi,, 'nilING STYLE\n\nLeft arm Fast medium',, 'PLAYING ROLE\n\nBowler'],, 'AGE\n\n24y 287d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Left arm Fast medium ,Bowler
Rajasthan Royals,Wanindu Hasaranga,, 'nilING STYLE\n\nLegbreak',, 'PLAYING ROLE\n\nAllrounder',, 'AGE\n\n27y 342d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Legbreak,Allrounder
Rajasthan Royals,Shimron Hetmyer,, 'AGE\n\n28y 192d',,Left hand Bat,Left hand Bat, Berbice,, Guyana',,Left hand Bat,not defined,Middle order Batter
Rajasthan Royals,Yashasvi Jaiswal,, 'AGE\n\n23y 190d',,Left hand Bat,Left hand Bat, Bhadohi,, Uttar Pradesh',,Left hand Bat,Legbreak,Opening Batter
Rajasthan Royals,Dhruv Jurel,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'FIELDING POSITION\n\nWicketkeeper',, Uttar Pradesh',, 'AGE\n\n24y 166d',,Right hand Bat,not defined,Wicketkeeper Batter
Rajasthan Royals,Kumar Kartikeya,, 'AGE\n\n27y 192d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', Sultanpur,, Uttar Pradesh',,Right hand Bat,Slow Left arm Orthodox ,Bowler
Rajasthan Royals,Akash Madhwal,, 'nilING STYLE\n\nRight arm Medium fast',, 'PLAYING ROLE\n\nBowler'],, 'AGE\n\n31y 223d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Medium fast ,Bowler
Rajasthan Royals,Kwena Maphaka,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nLeft arm Fast',,',, 'AGE\n\n19y 89d',,Left hand Bat,Left arm Fast,Bowler
Rajasthan Royals,Riyan Parag,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Offbreak,, Assam',, 'AGE\n\n23y 238d',,Right hand Bat,Right arm Offbreak,Top order Batter
Rajasthan Royals,Lhuan-dre Pretorius,, 'FIELDING POSITION\n\nWicketkeeper',, 'PLAYING ROLE\n\nWicketkeeper Batter'],, 'AGE\n\n19y 101d',,Left hand Bat,Left hand Bat,Left hand Bat,not defined,Wicketkeeper Batter
Rajasthan Royals,Nitish Rana,, 'nilING STYLE\n\nRight arm Medium,, Right arm Offbreak,, 'AGE\n\n31y 191d',,Left hand Bat,Left hand Bat,Left hand Bat,Right arm Medium,Middle order Batter
Rajasthan Royals,Kunal Singh Rathore,,Left hand Bat,Left hand Bat, 'FIELDING POSITION\n\nWicketkeeper',, Rajasthan',, 'AGE\n\n22y 270d',,Left hand Bat,not defined,Wicketkeeper Batter
Rajasthan Royals,Sandeep Sharma,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Medium',, Punjab',, 'AGE\n\n32y 49d',,Right hand Bat,Right arm Medium,Bowler
Rajasthan Royals,Vaibhav Suryavanshi,, 'PLAYING ROLE\n\nBatter'],,,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nSlow Left arm Orthodox',,Left hand Bat,Slow Left arm Orthodox,Batter
Rajasthan Royals,Maheesh Theekshana,, 'nilING STYLE\n\nRight arm Offbreak',, 'PLAYING ROLE\n\nBowler',, 'AGE\n\n24y 339d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Offbreak ,Bowler
Rajasthan Royals,Yudhvir Singh,, 'nilING STYLE\n\nRight arm Medium fast',, 'PLAYING ROLE\n\nBowler'],, 'AGE\n\n27y 296d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Medium fast ,Bowler
Royal Challengers Bengaluru,Rajat Patidar,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Offbreak',, Madhya Pradesh',, 'AGE\n\n32y 37d',,Right hand Bat,Right arm Offbreak,Top order Batter
Royal Challengers Bengaluru,Mayank Agarwal,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Offbreak',, Karnataka',, 'AGE\n\n34y 142d',,Right hand Bat,Right arm Offbreak,Batter
Royal Challengers Bengaluru,Swastik Chikara,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Offbreak',, Uttar Pradesh',, 'AGE\n\n20y 96d',,Right hand Bat,Right arm Offbreak,Batter
Royal Challengers Bengaluru,Tim David,, 'nilING STYLE\n\nRight arm Offbreak',, 'PLAYING ROLE\n\nMiddle order Batter',, 'AGE\n\n29y 114d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Offbreak,Middle order Batter
Royal Challengers Bengaluru,Virat Kohli,, 'nilING STYLE\n\nRight arm Medium',, 'PLAYING ROLE\n\nTop order Batter'],, 'AGE\n\n36y 245d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Medium,Top order Batter
Royal Challengers Bengaluru,Phil Salt,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Offbreak',, North Wales',, 'AGE\n\n28y 314d',,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Royal Challengers Bengaluru,Tim Seifert,, 'FIELDING POSITION\n\nWicketkeeper',, 'PLAYING ROLE\n\nWicketkeeper Batter'],, 'AGE\n\n30y 206d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,not defined,Wicketkeeper Batter
Royal Challengers Bengaluru,Jitesh Sharma,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'FIELDING POSITION\n\nWicketkeeper',, Maharashtra',, 'AGE\n\n31y 259d',,Right hand Bat,not defined,Wicketkeeper Batter
