TEAM,NAME,image,,,,,,,,,BATTING STYLE,BOWLING STYLE,PLAYING ROLE
Chennai Super Kings,Rachin Ravindra,,1,, 'PLAYING ROLE\n\nBatting Allrounder'],, 'AGE\n\n25y 230d',,Left hand Bat,Left hand Bat,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder
Chennai Super Kings,Vijay Shankar,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Medium',, Tamil Nadu',, 'AGE\n\n34y 161d',,Right hand Bat,Right arm Medium,Allrounder
Chennai Super Kings,Rahul Tripathi,,1,, 'PLAYING ROLE\n\nTop order Batter'],, 'AGE\n\n34y 126d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Medium,Top order Batter
Delhi Capitals,Axar Patel,,1,,Left hand Bat,Left hand Bat, Gujarat',, 'AGE\n\n31y 167d',,Left hand Bat,Slow Left arm Orthodox,Allrounder
Delhi Capitals,Faf du Plessis,,1,, 'PLAYING ROLE\n\nMiddle order Batter',, 'AGE\n\n40y 358d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Legbreak,Middle order Batter
Delhi Capitals,Abishek Porel,,1,, 'RELATIONS\n\nIC Porel\n\n(cousin)'],,Left hand Bat,Left hand Bat, 'FIELDING POSITION\n\nWicketkeeper',,Left hand Bat,not defined,Wicketkeeper Batter
Delhi Capitals,Harry Brook,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Medium',, Yorkshire',, 'AGE\n\n26y 134d',,Right hand Bat,Right arm Medium,Batter
Delhi Capitals,Dushmantha Chameera,,1,, 'PLAYING ROLE\n\nBowler',, 'AGE\n\n33y 176d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Fast ,Bowler
Delhi Capitals,Donovan Ferreira,,1,, 'FIELDING POSITION\n\nWicketkeeper',, 'AGE\n\n26y 350d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Offbreak,Allrounder
Delhi Capitals,Jake Fraser-McGurk,,1,,,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nLegbreak Googly',,Right hand Bat,Legbreak Googly,Batter
Delhi Capitals,Kuldeep Yadav,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nLeft arm Wrist spin',, Uttar Pradesh',, 'AGE\n\n30y 204d',,Left hand Bat,Left arm Wrist spin,Bowler
Delhi Capitals,Ajay Mandal,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nSlow Left arm Orthodox',, Madhya Pradesh',, 'AGE\n\n29y 131d',,Left hand Bat,Slow Left arm Orthodox,Allrounder
Delhi Capitals,Manvanth Kumar,,1,,,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nRight arm Fast medium',,Left hand Bat,Right arm Fast medium,Allrounder
Delhi Capitals,Mukesh Kumar,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Medium',, Bihar',, 'AGE\n\n31y 267d',,Right hand Bat,Right arm Medium,Bowler
Delhi Capitals,Mustafizur Rahman,,1,, 'PLAYING ROLE\n\nBowler',, 'AGE\n\n29y 303d',,Left hand Bat,Left hand Bat,Left hand Bat,Left arm Fast medium ,Bowler
Delhi Capitals,Karun Nair,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Offbreak',, Rajasthan',, 'AGE\n\n33y 212d',,Right hand Bat,Right arm Offbreak,Top order Batter
Delhi Capitals,Darshan Nalkande,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Fast medium',, Maharashtra',, 'AGE\n\n26y 275d',,Right hand Bat,Right arm Fast medium,Bowler
Delhi Capitals,T Natarajan,,1,, 'PLAYING ROLE\n\nBowler'],, 'AGE\n\n34y 93d',,Left hand Bat,Left hand Bat,Left hand Bat,Left arm Medium ,Bowler
Delhi Capitals,Vipraj Nigam,,1,,,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nLegbreak',,Right hand Bat,Legbreak,Bowler
Delhi Capitals,KL Rahul,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'FIELDING POSITION\n\nWicketkeeper',, Karnataka',, 'AGE\n\n33y 79d',,Right hand Bat,not defined,Wicketkeeper Batter
Delhi Capitals,Sameer Rizvi,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Offbreak',, Uttar Pradesh',, 'AGE\n\n21y 212d',,Right hand Bat,Right arm Offbreak,Batter
Delhi Capitals,Sediqullah Atal,,,,,,Left hand Bat,Left hand Bat, 'PLAYING ROLE\n\nOpening Batter'],,Left hand Bat,not defined,Opening Batter
Delhi Capitals,Mohit Sharma,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Medium',, Haryana',, 'AGE\n\n36y 291d',,Right hand Bat,Right arm Medium,Bowler
Delhi Capitals,Ashutosh Sharma,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'PLAYING ROLE\n\nBatting Allrounder'],, Madhya Pradesh',, 'AGE\n\n26y 294d',,Right hand Bat,not defined,Batting Allrounder
Delhi Capitals,Mitchell Starc,,1,,Left hand Bat,Left hand Bat, Sydney,, New South Wales',,Left hand Bat,Left arm Fast ,Bowler
Delhi Capitals,Tristan Stubbs,,1,, 'PLAYING ROLE\n\nBatter',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Offbreak',,Right hand Bat,Right arm Offbreak,Batter
Delhi Capitals,Madhav Tiwari,,1,,,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Medium fast',,Right hand Bat,Right arm Medium fast,Allrounder
Delhi Capitals,Tripurana Vijay,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Offbreak',, Andra Pradesh',, 'AGE\n\n23y 304d',,Right hand Bat,Right arm Offbreak,Bowler
Gujarat Titans,Shubman Gill,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Offbreak',, Punjab',, 'AGE\n\n25y 303d',,Right hand Bat,Right arm Offbreak,Middle order Batter
Gujarat Titans,Anuj Rawat,,Left hand Bat,Left hand Bat, 'PLAYING ROLE\n\nWicketkeeper Batter'],, Uttarakhand',, 'AGE\n\n25y 264d',,Left hand Bat,not defined,Wicketkeeper Batter
Gujarat Titans,Kumar Kushagra,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'FIELDING POSITION\n\nWicketkeeper',, Jharkhand',, 'AGE\n\n20y 258d',,Right hand Bat,not defined,Wicketkeeper Batter
Gujarat Titans,Kusal Mendis,,1,, 'FIELDING POSITION\n\nWicketkeeper',, 'AGE\n\n30y 156d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Legbreak,Wicketkeeper Batter
Gujarat Titans,Sherfane Rutherford,,1,,,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nRight arm Fast medium',,Left hand Bat,Right arm Fast medium,Middle order Batter
Gujarat Titans,Sai Sudharsan,,1,, 'PLAYING ROLE\n\nTop order Batter'],, 'AGE\n\n23y 266d',,Left hand Bat,Left hand Bat,Left hand Bat,Legbreak,Top order Batter
